prompt,source,category
Write a python function to check whether the given strings are rotations of each other or not.,mbpp,coding
"
def order_by_points(nums):
    """"""
    Write a function which sorts the given list of integers
    in ascending order according to the sum of their digits.
    Note: if there are several items with similar sum of their digits,
    order them based on their index in original list.

    For example:
    >>> order_by_points([1, 11, -1, -11, -12]) == [-1, -11, 1, -12, 11]
    >>> order_by_points([]) == []
    """"""
",humaneval,coding
Create a guide on how to create and maintain a home garden.,ultrachat,chat
"Today, William went to the bookstore. Between what times could they have gone?
We know that:
William woke up at 7am.
Tiffany saw William working out at the gym from 7am to 8am.
Sean saw William driving to the water park from 12pm to 1pm.
Anthony saw William waiting at the train station from 1pm to 3pm.
James saw William taking photos near the Eiffel Tower from 3pm to 5pm.
Jessica saw William working at the office from 5pm to 7pm.
The bookstore was closed after 7pm.
Between what times could William have gone to the bookstore?
Options:
(A) 12pm to 1pm
(B) 1pm to 3pm
(C) 3pm to 5pm
(D) 8am to 12pm",bbh,reasoning
"Snap, Crackle, and Pop spend $150 on cereal in a grocery store.  Snap spends twice as much as Crackle.  Crackle spends 3 times as much as Pop.  How much did Pop spend?",gsm8k,math
"John has 2 umbrellas in his house and 1 in the car.  If they cost $8 each, how much did he pay in total?",gsm8k,math
Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 5 baseballs and each one makes 80 rotations. His friend has 4 apples and each one makes 101 rotations. How many total rotations of objects are made by the winner?,gsm8k,math
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",humaneval,coding
"Jacoby wants to save money for a trip to Brickville. He needs to have $5000 total to go on his trip. He works a job earning $20 per hour and works 10 hours. He then finds he can sell cookies for $4 each, and he sells 24 pieces of cookies. With the money he has so far, he buys a lottery ticket for $10 and wins $500. Finally, he gets $500 from both of his sisters as a gift. How much more, in dollars, does Jacob need to go to Brickville?",gsm8k,math
Write a function that matches a string that has an a followed by zero or one 'b'.,mbpp,coding
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",humaneval,coding
"Morgan goes to the drive-thru and orders his lunch.  He gets a hamburger for $4, onion rings for $2 and a smoothie for $3. If he pays with a $20 bill, how much change does he receive?",gsm8k,math
Carl is hosting an open house for his new business.  He knows 50 people will show up and hopes that another 40 people will randomly show up.  He’s created 10 extravagant gift bags for the first 10 people who visit his shop.  He’s made average gift bags for 20 people but needs to make enough for everyone who visits to have one.  How many more bags does he need to make?,gsm8k,math
"Using Dart programming language, create a function that can open and read a CSV file. The function should prompt the user to provide the name of the file and specify the column from which the mode should be calculated. The function should then calculate the mode of the specified column and output the result to the console. The CSV file will have a header row, and the values will be separated by commas. Use appropriate coding practices such as error handling, comments, and clear variable names.",ultrachat,chat
"Today, William went to the market. Between what times could they have gone?
We know that:
William woke up at 7am.
William saw William working at the office from 7am to 8am.
Hannah saw William reading at the library from 8am to 3pm.
Susan saw William fixing their computer at the electronic store from 3pm to 4pm.
Leslie saw William getting a coffee at the cafe from 6pm to 9pm.
The market was closed after 9pm.
Between what times could William have gone to the market?
Options:
(A) 4pm to 6pm
(B) 7am to 8am
(C) 3pm to 4pm
(D) 8am to 3pm",bbh,reasoning
Write a function to separate and print the numbers and their position of a given string.,mbpp,coding
"Write a script for a one-act play that explores the themes of loyalty, inheritance, and tradition within a family-owned vineyard in Napa Valley. The play should feature at least four main characters, each with their own distinct personalities and motivations. The tone can be either dramatic or comedic, but should ultimately provide insight into the complex dynamics of family relationships in the context of a business operation. Additionally, the script should include vivid descriptions of the vineyard setting, as well as specific details about the winemaking process.",ultrachat,chat
"Today, James went to the physics classroom. Between what times could they have gone?
We know that:
James woke up at 8am.
Emily saw James buying clothes at the mall from 8am to 9am.
Lisa saw James buying a phone at the electronics store from 9am to 4pm.
Steven saw James driving to the water park from 5pm to 6pm.
The physics classroom was closed after 6pm.
Between what times could James have gone to the physics classroom?
Options:
(A) 8am to 9am
(B) 9am to 4pm
(C) 5pm to 6pm
(D) 4pm to 5pm",bbh,reasoning
"By the time Anne is two times as old as Emile, Emile will be six times as old as Maude. If Maude will be 8 years old, how old will Anne be?",gsm8k,math
"Today, William went to the coffee shop. Between what times could they have gone?
We know that:
William woke up at 9am.
Linda saw William playing tennis at the tennis court from 9am to 11am.
Emily saw William attending class at the school from 11am to 1pm.
Nancy saw William walking in the garden from 6pm to 7pm.
The coffee shop was closed after 7pm.
Between what times could William have gone to the coffee shop?
Options:
(A) 6pm to 7pm
(B) 9am to 11am
(C) 11am to 1pm
(D) 1pm to 6pm",bbh,reasoning
"
def x_or_y(n, x, y):
    """"""A simple program which should return the value of x if n is 
    a prime number and should return the value of y otherwise.

    Examples:
    for x_or_y(7, 34, 12) == 34
    for x_or_y(15, 8, 5) == 5
    
    """"""
",humaneval,coding
"Bill and Phil are firehouse Dalmatians. Bill has one less than twice as many spots as Phil. If they have 59 spots combined, how many spots does Bill have?",gsm8k,math
"Prepare eye-catching marketing material and demonstrate your coaching skills to attract students and new grads to your booth at the career fair. Offer them a free consultation or assessment to build rapport and gauge their needs and aspirations. Provide educational resources, such as brochures, handouts, or videos, that explain your coaching methodologies, success stories, and value proposition. Follow up with interested prospects after the fair and schedule further sessions or referrals as appropriate.",ultrachat,chat
Write a python function to find lcm of two positive integers.,mbpp,coding
Hadassah took six hours to paint 12 paintings. What would be the total time she's taken to finish all the paintings if she paints 20 more paintings?,gsm8k,math
"Today, Richard went to the basketball court. Between what times could they have gone?
We know that:
Richard woke up at 5am.
Elizabeth saw Richard taking photos near the Leaning Tower of Pisa from 5am to 7am.
Lisa saw Richard fixing their computer at the electronic store from 3pm to 7pm.
Leslie saw Richard reading at the library from 7pm to 8pm.
The basketball court was closed after 8pm.
Between what times could Richard have gone to the basketball court?
Options:
(A) 3pm to 7pm
(B) 5am to 7am
(C) 7pm to 8pm
(D) 7am to 3pm",bbh,reasoning
